(-73, 379)
(373, 112)
(94, -96)
(-344, -201)
(-327, 132)
(379, -321)
(32, -130)
(400, -108)
(39, -223)
(-268, -11)
(-281, 77)
(27, 191)
(340, -201)
(-260, -400)
(50, 168)
(-63, 365)
(-292, 171)
(-217, -30)
(74, 209)
(386, -187)
(126, -233)
(380, -232)
(380, -339)
(197, 26)
(146, 289)
(272, -208)
(-399, 356)
(-251, -207)
(-331, 306)
(-343, 393)
(184, -346)
(33, -384)
(113, 257)
(-115, -44)
(-399, 264)
(-124, 9)
(122, 99)
(-303, -300)
(146, 364)
(-292, 344)
(-149, 201)
(-325, 105)
(-7, 223)
(-15, 299)
(269, -235)
(366, 154)
(-11, -198)
(44, 144)
(-354, 188)
(-201, -35)
(-182, -99)
(-185, -196)
(75, 89)
(-370, -343)
(143, -168)
(189, 206)
(-168, -346)
(-132, 118)
(-115, -361)
(67, -82)
